ID,name,description,topic_ID
660e8400-e29b-41d4-a716-000000000031,RISE Business Transformation,RISE Business Transformation Services,550e8400-e29b-41d4-a716-446655440007
660e8400-e29b-41d4-a716-000000000032,Clean Core (generic),Clean Core Strategy — übergreifend,550e8400-e29b-41d4-a716-446655440008
660e8400-e29b-41d4-a716-000000000033,Clean Core Extensibility,Clean Core Extensibility — BAdIs Key User Apps,550e8400-e29b-41d4-a716-446655440008
660e8400-e29b-41d4-a716-000000000034,Clean Core Integration,Clean Core Integration — Standard APIs & Events,550e8400-e29b-41d4-a716-446655440008
660e8400-e29b-41d4-a716-000000000035,Clean Core Operations,Clean Core Operations — CALM & Monitoring,550e8400-e29b-41d4-a716-446655440008
660e8400-e29b-41d4-a716-000000000036,SAP Activate,SAP Activate Methodology — Agile Project Framework,550e8400-e29b-41d4-a716-446655440008
660e8400-e29b-41d4-a716-000000000037,HCM (generic),Human Capital Management — übergreifend,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-000000000038,SuccessFactors (EC),SuccessFactors Employee Central — Core HR,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-000000000039,SuccessFactors (RPM),SuccessFactors Recruiting & Performance Management,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-000000000040,S/4HANA HCM,S/4HANA HCM — Payroll & Time Management,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-000000000041,Datasphere,SAP Datasphere — Data Fabric & Virtual Models,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-000000000042,SAC (generic),SAP Analytics Cloud — Reporting & Planning,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-000000000043,SAC Planning,SAP Analytics Cloud Planning — Integrated Business Planning,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-000000000044,BW/4HANA,BW/4HANA — Data Warehouse Migration & Modeling,550e8400-e29b-41d4-a716-446655440002
